Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
167584,2.085799735,-0.055471183,-1.582876503,0.183379056,0.594297696,-0.338310896,0.264101525,-0.285668695,0.407569114,0.002448898,-1.235884763,0.908783178,1.515642608,-0.082149294,-0.277719455,-0.0938387,-0.542685771,-0.796189143,0.465673067,-0.050362049,-0.273992382,-0.625718745,0.200434467,0.136405008,-0.042499545,0.276598754,-0.073683663,-0.057044943,21.78,0
167584,1.974528639,-0.499245759,-0.40170461,0.27235752,-0.603166397,-0.097880944,-0.757101061,0.122882825,0.988625691,0.217800891,0.465419037,0.707658952,-0.221734347,0.070270988,-0.048042601,0.615709303,-0.839409599,0.652096531,-0.017089382,-0.204220032,0.277669468,0.971256614,0.078322874,-0.337126278,-0.228946348,0.649571244,-0.026823013,-0.064133374,5.99,0
167585,1.783589159,-1.491921241,0.699642885,1.090105909,-1.64795219,1.316176826,-1.77493662,0.432559846,1.253878286,0.551199764,-2.086807823,0.797747977,0.893900222,-1.535801761,-1.716435594,-1.742555215,0.166908744,1.450651733,-0.956721177,-0.430892679,-0.190303582,0.304363044,0.142753249,0.606759372,-0.230832448,-0.507314286,0.146002211,0.009698434,100,0
167586,0.134168531,0.991907284,-0.492106704,-0.58148687,1.047444013,-0.739562251,0.949234905,-0.095423973,-0.032654539,-0.831732996,-0.879330779,-0.177696172,0.060001902,-1.031226848,-0.223856935,0.392419648,0.288407185,-0.146750798,-0.148392814,0.038316229,-0.351985143,-0.875158427,0.078092581,0.370016226,-0.390017252,0.125355088,0.22054342,0.083046798,3.99,0
167588,0.015927203,0.798282925,0.249535653,-0.59722064,0.451341565,-1.01140617,0.98304509,-0.161738559,-0.000344157,-0.414483174,-0.985956188,-0.010451785,-0.252244847,0.169502233,-0.319687844,-0.1177996,-0.362311354,-0.778046858,-0.128657191,-0.042068682,-0.25729893,-0.584704969,0.088546258,-0.098930141,-0.50085315,0.14852239,0.245714203,0.096399072,8.91,0
167589,-0.700039017,-0.407855369,0.136552157,-0.188158953,-0.667499966,-0.1760494,-0.324468903,-2.864967876,-0.112537992,-1.356334808,-0.995643016,0.388092876,-0.18484222,0.568290634,-0.013713966,0.434649749,-0.367817322,-0.2801333,-0.713386431,1.233570856,-1.067575605,0.203557005,-0.407073488,0.102416387,0.543910464,0.584991807,-0.034013716,0.305284497,359.8,0
167589,1.904926143,-0.646488177,-0.759546666,0.035810215,-0.298570306,0.224988304,-0.610834279,0.209682663,0.946961799,0.169678184,0.252596598,0.307888736,-0.921114218,0.32065679,0.020941884,0.84681675,-0.90245777,0.341738043,0.456783048,-0.092311971,-0.231790856,-0.811175343,0.365478982,0.154177148,-0.643797489,0.209830859,-0.066010344,-0.044987173,61.94,0
167589,-0.624794866,0.863861949,-0.255956239,-0.704882083,0.668983057,0.345986898,0.344431967,0.679288127,-0.024707957,-0.643608983,-0.54281008,0.118901196,-0.78724857,0.639786524,0.481723288,-0.868986991,0.675485126,-2.048969831,-1.21074312,-0.329325861,-0.131464468,-0.282609372,0.31081109,-1.065598619,-0.711335466,0.234186238,0.048074251,0.008407805,9.99,0
167589,-1.106151957,2.140853856,-2.311313452,-0.392217235,1.280554519,-1.385201511,0.851642487,0.640673631,-1.132602954,-1.75985186,1.143653578,-0.026337392,-0.968922368,-1.599595076,-1.144749591,0.725474187,2.218386336,1.340764706,-0.161886964,-0.187208865,0.136962638,0.256288085,-0.297186386,0.576534003,0.062154416,0.589265408,-0.037404089,0.123397055,0.76,0
167589,2.107590888,0.006854587,-1.595210904,0.180068715,0.39907606,-0.766393965,0.211999519,-0.305957977,0.564241454,0.000684873,-0.942493502,0.298379566,0.412134253,0.400118607,0.7775699,-0.111813101,-0.655087359,0.038567074,-0.104991199,-0.189126353,0.221652212,0.784583079,-0.005065881,0.516723194,0.337730165,-0.126536448,-0.023074777,-0.054260926,0.89,0
167591,1.972529382,-1.769536908,-1.350069077,-1.503684074,-1.332344821,-1.036245844,-0.671973412,-0.320429872,-1.793704869,1.786545946,0.884394458,-0.319640987,0.19038524,0.132812021,-0.453154807,-0.385638077,0.189037399,0.609579058,-0.156899216,-0.118819388,0.237686634,0.769060278,-0.070918468,0.098195349,-0.030559924,0.035437275,-0.045247891,-0.041411128,175,0
167592,2.019330544,0.158684065,-1.590588483,0.339522492,0.43862051,-0.648486412,0.129685112,-0.137518804,0.125406703,-0.228231524,1.406600055,1.234521365,0.581274738,-0.762833585,-0.578544399,0.428445374,0.254584566,0.048733258,0.267504545,-0.110242484,-0.293294518,-0.745745438,0.342881761,0.687169661,-0.291763977,0.14044704,-0.062127423,-0.037362428,1.79,0
167592,1.684242038,-0.740620712,-3.281622815,-0.508328492,2.402346794,3.251896643,-0.302952231,0.788368796,0.855609707,-0.954130695,0.31470902,0.270269846,-0.348834873,-1.343236681,0.330452145,-0.023610818,1.11567126,-0.005445457,-0.075222463,0.231725726,-0.156159952,-0.682351304,0.077444876,0.580411689,-0.090433436,-0.085323815,-0.0176123,0.00428858,176.56,0
